,CPI,GDP,INFL,LGDP,LGDP_GAP,MPR,RER,RER_GAP
2009Q4,115.2000,1608324.,0.787402,14.29070,-0.031078,0.250000,113.0700,-1.782142
2010Q1,115.8000,1642716.,1.668130,14.31186,-0.018071,0.250000,115.5000,0.163838
2010Q2,115.8000,1650856.,1.401051,14.31680,-0.021510,0.330000,118.0600,2.274306
2010Q3,116.6000,1661048.,1.834061,14.32296,-0.023968,0.760000,116.0600,-0.130718
2010Q4,117.8000,1696408.,2.256944,14.34402,-0.011735,1.000000,118.0700,1.527365
2011Q1,118.6000,1735788.,2.417962,14.36697,0.002191,1.000000,120.9600,4.127236
2011Q2,119.7000,1752816.,3.367876,14.37673,0.002775,1.000000,122.4000,5.346620
2011Q3,120.1000,1783352.,3.001715,14.39401,0.010743,1.000000,121.0300,3.830665
2011Q4,120.9000,1808100.,2.631579,14.40779,0.015131,1.000000,116.7600,-0.508825
2012Q1,121.5000,1817004.,2.445194,14.41270,0.010583,1.000000,119.5300,2.267561
2012Q2,121.5000,1822996.,1.503759,14.41599,0.004362,1.000000,118.9400,1.759552
2012Q3,121.6000,1836764.,1.248959,14.42352,0.002331,1.000000,120.8200,3.795459
2012Q4,122.1000,1848148.,0.992556,14.42969,-0.001082,1.000000,120.8900,4.092494
